GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
0500000US41029,41029,"Jackson County, Oregon",217479,*****,107118,1188,6191,346,6556,1180,7626,1601,3757,462,2097,336,1018,512,639,355,5231,999,6637,670,6399,165,6080,866,5436,1001,6607,771,6564,628,7273,1118,2014,796,5735,1124,2612,740,4305,843,6201,843,4128,728,2169,565,1843,515,110361,1188,5421,144,5032,925,6952,897,3569,485,2759,658,1036,543,1820,784,3494,1007,6105,369,6833,753,6075,991,6934,1202,6511,684,5909,273,6526,1010,4304,834,5522,975,3482,856,3877,813,7643,1078,4359,1000,2188,665,4010,895
0500000US41033,41033,"Josephine County, Oregon",86352,*****,42312,762,2684,464,2761,728,2238,529,1546,222,514,340,225,209,627,479,1484,677,2541,600,1930,117,1805,841,2676,802,2047,207,2837,608,2472,622,1079,434,2818,628,917,525,2511,650,2642,726,1634,493,1392,483,932,455,44040,762,2338,268,2798,522,1359,495,1127,65,398,320,756,468,540,376,861,657,2181,243,2121,343,3203,1011,1721,652,2490,406,2761,318,3728,847,1428,590,2591,778,1246,562,2576,708,2979,688,2347,639,1017,463,1474,540
0500000US41035,41035,"Klamath County, Oregon",66935,*****,33100,625,1583,262,2068,589,2154,602,922,365,849,404,679,500,510,351,1396,553,1813,342,1719,283,2106,451,1555,550,1884,300,2011,372,2705,506,1096,437,766,371,998,474,1544,526,2076,581,1405,417,718,328,543,334,33835,625,2375,174,2018,480,1822,342,1483,364,418,284,431,284,265,224,1064,419,2289,308,1726,210,1494,450,1834,515,2576,517,1961,193,2367,543,1089,450,1484,514,1133,385,886,294,2223,459,1549,391,577,283,771,323
0500000US41039,41039,"Lane County, Oregon",374748,*****,184612,688,9167,336,10162,1447,9904,1397,6518,588,6438,728,3262,945,4088,1279,10029,1541,13726,539,11125,438,13056,1267,10099,1299,10584,438,10251,569,12098,1125,4508,931,7162,1097,5081,786,7141,1018,8280,976,4952,814,3517,801,3464,815,190136,688,8946,378,9266,1209,10062,1103,6073,369,6657,882,5543,1437,2962,983,8534,1579,12043,792,11331,413,10824,1391,11517,1376,10060,422,10894,509,13265,1338,5919,1095,8068,1158,6240,949,7561,1127,8498,960,6330,1001,4349,757,5194,958
0500000US41043,41043,"Linn County, Oregon",125047,*****,62038,579,3696,306,5106,849,3455,781,2268,294,1295,291,724,440,438,277,2318,531,4448,356,3762,410,3101,962,4594,960,3951,426,3779,349,3718,729,2127,659,2540,649,1691,446,2898,659,2075,512,2183,518,986,333,885,412,63009,579,3923,385,3364,804,4128,820,2691,379,1061,159,921,648,973,612,1464,610,4170,288,3760,287,4891,864,3060,776,3870,471,3678,196,4505,771,1441,475,2893,629,1711,545,2249,619,3138,687,1902,537,1227,439,1989,494
0500000US41047,41047,"Marion County, Oregon",341286,*****,170177,901,11216,246,11860,1412,13312,1455,7192,212,4599,263,2208,806,2212,871,7167,1014,12908,631,11673,414,12112,1466,9939,1435,10371,369,10307,620,10731,1211,4244,817,5501,1045,2930,763,4959,872,5626,973,3512,768,2433,633,3165,732,171109,901,11185,678,12184,1695,11451,1585,6388,249,4506,338,2318,766,2617,826,5489,1148,11809,740,10876,373,11643,1419,10253,1439,9982,435,9746,506,10722,1219,4451,892,6233,1109,2587,610,6242,904,8017,936,5524,863,3209,841,3677,936
0500000US41051,41051,"Multnomah County, Oregon",807555,*****,399370,714,23100,388,22141,1751,21197,1787,12153,176,8756,788,4732,1045,3996,941,14942,1489,37361,574,37452,211,36307,2483,30449,2448,29361,373,25100,435,22349,1789,9039,1205,14192,1734,8499,1229,10615,1095,12243,1067,7625,1018,3997,761,3764,904,408185,714,22577,730,21100,1626,20084,1643,11965,208,8181,192,6170,1271,4183,1102,14467,1417,37670,342,38089,1155,34533,2401,30732,2497,28283,476,23733,275,24769,1503,8870,1316,14579,1497,9729,1311,10808,1253,14294,1485,9174,956,5326,929,8869,993
0500000US41053,41053,"Polk County, Oregon",83696,*****,41953,963,2603,223,1860,444,3146,551,3034,713,1717,610,196,194,640,435,3303,1042,2088,231,2441,463,2597,643,1949,630,2089,182,2575,233,2009,530,921,335,1685,478,1243,461,1363,407,1598,453,1543,423,463,263,890,397,41743,963,1869,232,3097,718,2841,813,1228,657,2122,766,621,552,1651,901,1359,596,2045,168,2235,484,3298,767,1848,493,2635,465,2260,261,1383,494,2051,531,1465,507,1412,429,1436,450,1674,504,1298,396,837,379,1078,467
0500000US41059,41059,"Umatilla County, Oregon",76985,*****,40730,502,2660,187,3099,702,2677,633,1340,288,1416,576,1100,500,456,351,1421,406,2938,490,3164,562,2573,545,2154,688,2459,433,2334,124,3024,963,1387,761,1008,426,249,175,1195,374,1716,467,956,479,777,429,627,653,36255,502,2585,114,2726,670,2515,643,1903,271,1076,411,324,363,324,214,1371,466,2044,394,2555,445,2162,431,2271,664,1847,303,2397,441,2831,496,627,316,862,371,799,354,1046,358,1478,490,995,362,711,442,806,400
0500000US41067,41067,"Washington County, Oregon",588957,*****,290305,802,18563,312,17652,1882,21846,1849,11710,337,6722,450,3485,999,3299,1034,10206,1210,22832,483,23616,475,24044,2311,20458,2175,21151,522,18281,314,18093,1337,6327,1218,9116,1302,5476,973,6920,820,8620,937,5386,865,4419,932,2083,583,298652,802,17988,328,17845,1695,20264,1690,11175,333,6185,464,4104,1070,3222,925,10614,1469,21666,424,23003,733,22906,2051,21158,1947,21336,478,18591,406,18289,1296,7724,1326,9509,1378,5643,1025,9229,1138,10446,1244,7421,1009,4802,956,5532,880
