GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",53735,2763,1969,823,3514,954,17856,1529,13034,1417,7271,1278,4772,889,5319,1230,43400,3063,1419,787,3067,957,14478,1848,10720,1237,5683,1216,4103,826,3930,1090,4682,1382,423,323,410,383,2038,1022,898,507,276,259,211,183,426,298,174,278,0,218,0,218,6,13,168,278,0,218,0,218,0,218,418,277,0,218,37,68,93,140,87,99,201,208,0,218,0,218,969,553,127,188,0,218,271,274,71,119,230,193,0,218,270,251,4092,1270,0,218,0,218,970,545,1090,646,881,712,458,347,693,405
310M200US43100,43100,"Sheboygan, WI Metro Area",57500,1918,2613,461,3975,553,22208,1250,14817,905,7142,767,3730,630,3015,605,48580,2027,2250,495,3473,577,18623,1198,12698,979,6069,673,3289,593,2178,628,4237,902,136,150,147,125,2180,726,993,445,434,248,201,136,146,141,107,136,0,149,75,129,25,41,7,15,0,149,0,149,0,149,1688,437,168,184,269,151,360,159,231,157,252,150,95,94,313,247,817,434,0,149,11,20,433,382,99,79,150,164,88,82,36,43,2071,615,59,82,0,149,587,310,789,455,237,189,57,55,342,206
310M200US43340,43340,"Shreveport-Bossier City, LA Metro Area",193875,4299,6216,1496,19004,1948,85779,3005,41433,1993,17806,1873,12344,1507,11293,1335,168819,5679,5060,1519,15443,1830,75929,3479,36932,2478,14900,1811,10847,1373,9708,1242,12959,1783,719,344,1598,736,5008,1055,2733,877,1546,566,689,395,666,375,1973,704,142,190,629,385,592,389,111,146,184,161,72,99,243,272,3102,1084,0,203,744,399,1491,883,491,329,139,150,211,178,26,44,3459,1139,246,425,405,526,1176,664,917,641,594,393,21,35,100,123,3563,958,49,90,185,184,1583,697,249,195,443,289,504,315,550,352
310M200US43420,43420,"Sierra Vista-Douglas, AZ Metro Area",47112,2665,2542,741,3875,841,18287,1840,10338,1007,5884,954,3399,652,2787,715,37985,2669,1516,719,2254,731,14599,1837,9493,1113,4957,941,2727,614,2439,711,4098,1134,199,198,552,371,2051,757,459,329,409,324,227,174,201,161,0,203,0,203,0,203,0,203,0,203,0,203,0,203,0,203,2131,684,595,297,655,312,803,391,0,203,55,90,23,38,0,203,1315,589,65,115,17,30,742,585,88,108,125,177,278,255,0,203,1583,528,167,183,397,295,92,99,298,251,338,235,144,216,147,124
310M200US43580,43580,"Sioux City, IA-NE-SD Metro Area",82816,2231,4295,812,9436,915,32775,1746,18127,1150,7708,1132,6588,1093,3887,776,68249,2315,2957,634,7867,995,26571,1779,15282,1175,6401,961,5855,1049,3316,722,7612,1567,890,438,771,588,3189,798,1483,499,571,296,398,178,310,232,862,443,0,190,0,190,619,378,39,64,160,254,0,190,44,76,1426,554,53,81,234,296,572,347,239,151,40,31,148,130,140,115,1468,600,347,263,297,307,476,312,223,171,47,56,78,127,0,190,3199,922,48,67,267,174,1348,586,861,518,489,374,109,107,77,62
310M200US43620,43620,"Sioux Falls, SD Metro Area",133190,3043,6161,918,11742,1087,61051,1770,26616,1144,11581,1390,9255,1152,6784,840,114097,3053,5069,959,10217,1071,52818,2223,22045,1558,9683,1221,8505,1112,5760,754,10450,1859,230,206,549,254,5648,1324,2507,1119,994,480,408,240,114,95,591,391,76,98,266,322,62,77,120,150,0,155,0,155,67,113,3127,938,591,215,509,328,628,447,464,223,558,476,107,98,270,183,1449,616,0,155,92,94,735,424,290,182,39,54,158,262,135,115,3476,768,195,178,109,131,1160,463,1190,494,307,217,77,72,438,232
310M200US43780,43780,"South Bend-Mishawaka, IN-MI Metro Area",139666,3192,5735,911,13609,1045,57476,2044,30600,1241,14405,1545,11599,1365,6242,784,114128,3198,3137,851,9478,1205,46776,2058,26121,1259,12944,1512,10034,1349,5638,755,12080,1781,1097,429,1335,544,6146,1175,1857,498,826,355,631,361,188,166,2104,753,30,52,340,148,1086,701,372,305,167,151,97,90,12,17,4454,704,1284,369,1698,483,781,375,278,214,109,120,178,147,126,96,2087,699,80,113,257,204,928,419,642,401,8,12,120,161,52,85,4813,918,107,117,501,287,1759,581,1330,521,351,315,539,286,226,156
310M200US43900,43900,"Spartanburg, SC Metro Area",136595,3546,6757,1334,14329,1690,57173,2065,30646,1696,12598,1408,8867,1103,6225,1167,117421,3745,5408,1300,12142,1564,48554,2172,27068,1726,11147,1423,7544,1067,5558,1089,13748,2336,707,365,1231,550,7135,1656,2572,753,847,392,973,429,283,215,269,210,0,204,132,209,21,36,0,204,0,204,116,179,0,204,1910,627,494,315,519,401,283,235,377,284,48,80,49,80,140,192,725,455,0,204,139,163,430,401,56,69,23,37,0,204,77,127,2522,919,148,176,166,251,750,373,573,333,533,473,185,163,167,163
310M200US44060,44060,"Spokane-Spokane Valley, WA Metro Area",225732,4734,6204,1110,23105,2023,94417,2694,49617,2359,23248,2051,17629,1694,11512,1799,177381,4808,3882,926,18742,1843,74261,2729,38851,2618,18105,1954,14609,1541,8931,1524,21235,2863,793,382,1857,666,9116,1606,5062,1498,2382,745,1092,499,933,458,5996,1330,220,264,609,401,3098,1012,1182,586,666,359,124,117,97,106,7735,1255,996,407,1206,614,2984,1044,951,405,301,171,794,359,503,288,2767,821,98,163,194,171,760,452,755,576,546,349,362,200,52,93,10618,1929,215,209,497,314,4198,1181,2816,1012,1248,599,648,409,996,426
310M200US44100,44100,"Springfield, IL Metro Area",100886,3011,3451,691,9089,1134,41061,1747,24416,1130,9492,1243,7625,1073,5752,876,85597,2950,2456,536,7523,1116,34650,1816,21038,1359,8002,1221,6738,1065,5190,827,7495,1687,156,122,597,463,3883,1029,1654,650,663,354,460,276,82,95,1029,507,68,71,225,365,331,221,282,221,49,80,74,120,0,185,2140,799,402,301,330,230,641,383,669,520,61,104,0,185,37,44,1119,802,369,458,189,288,252,180,65,79,244,191,0,185,0,185,3506,716,0,185,225,200,1304,518,708,344,473,270,353,252,443,274
